"Name","Threat","Vulnerability","Consequence $$(UnitsMessage)","Prevention Cost $$(UnitsMessage)","Response Cost $$(UnitsMessage)","Risk Initial $$(UnitsMessage)","Risk Reduced $$(UnitsMessage)","Flow Consequence $$(UnitsMessage)","Prevention Allocation $$(UnitsMessage)","Response Allocation $$(UnitsMessage)","Attack Allocation $$(UnitsMessage)","Vulnerability Reduced","Consequence Reduced $$(UnitsMessage)","Calculated Threat","Weight","Weight x Objective","Degrees","Rank"
"Illinois","100.00","20.00","105.00","556.30","29.60","21.00","21.00","","0.00","0.00","0.00","20.00","105.00","100.00","0.667","14.000","2","2"
"Indiana","100.00","20.00","48.00","254.10","13.50","9.60","9.60","","0.00","0.00","0.00","20.00","48.00","100.00","0.667","6.400","2","4"
"Kentucky","100.00","20.00","17.00","90.00","4.80","3.40","3.40","","0.00","0.00","0.00","20.00","17.00","100.00","1.000","3.400","3","7"
"Maryland","100.00","20.00","17.60","93.00","5.00","3.52","3.52","","0.00","0.00","0.00","20.00","17.60","100.00","0.667","2.347","2","8"
"Missouri","100.00","20.00","123.00","651.60","34.70","24.60","24.60","","0.00","0.00","0.00","20.00","123.00","100.00","0.333","8.200","1","3"
"New Jersey","100.00","20.00","79.90","423.60","22.50","15.98","15.98","","0.00","0.00","0.00","20.00","79.90","100.00","0.333","5.327","1","5"
"Pennsylvania","100.00","20.00","98.90","524.30","27.90","19.78","19.78","","0.00","0.00","0.00","20.00","98.90","100.00","1.000","19.780","3","1"
"Tennessee","100.00","20.00","19.30","102.50","5.50","3.86","3.86","","0.00","0.00","0.00","20.00","19.30","100.00","0.333","1.287","1","10"
"West Virginia","100.00","20.00","18.00","95.40","5.10","3.60","3.60","","0.00","0.00","0.00","20.00","18.00","100.00","1.000","3.600","3","6"
"Virginia","100.00","20.00","12.30","65.20","3.50","2.46","2.46","","0.00","0.00","0.00","20.00","12.30","100.00","0.667","1.640","2","9"
"PA-NJ","100.00","20.00","8.00","42.40","2.30","1.60","1.60","","0.00","0.00","0.00","20.00","8.00","100.00","0.333","0.533","1","12"
"PA-MD","100.00","20.00","1.80","9.30","13.80","0.36","0.36","","0.00","0.00","0.00","20.00","1.80","100.00","0.333","0.120","1","14"
"PA-WV","100.00","20.00","1.80","9.50","0.50","0.36","0.36","","0.00","0.00","0.00","20.00","1.80","100.00","0.333","0.120","1","14"
"WV-VA","100.00","20.00","1.20","6.50","0.30","0.24","0.24","","0.00","0.00","0.00","20.00","1.20","100.00","0.333","0.080","1","16"
"VA-MD","100.00","20.00","1.20","6.50","0.30","0.24","0.24","","0.00","0.00","0.00","20.00","1.20","100.00","0.333","0.080","1","16"
"WV-KY","100.00","20.00","1.70","9.00","0.50","0.34","0.34","","0.00","0.00","0.00","20.00","1.70","100.00","0.333","0.113","1","15"
"KY-IN","100.00","20.00","1.70","9.00","0.50","0.34","0.34","","0.00","0.00","0.00","20.00","1.70","100.00","0.333","0.113","1","15"
"IN-IL","100.00","20.00","4.80","25.40","1.40","0.96","0.96","","0.00","0.00","0.00","20.00","4.80","100.00","0.333","0.320","1","13"
"IL-MO","100.00","20.00","10.50","55.60","3.00","2.10","2.10","","0.00","0.00","0.00","20.00","10.50","100.00","0.333","0.700","1","11"
"KY-TN","100.00","20.00","1.70","9.00","0.50","0.34","0.34","","0.00","0.00","0.00","20.00","1.70","100.00","0.333","0.113","1","15"
