Name,Threat,Vulnerability,Consequence $$(UnitsMessage),Prevention Cost $$(UnitsMessage),Response Cost $$(UnitsMessage),Risk Initial $$(UnitsMessage),Risk Reduced $$(UnitsMessage),Flow Consequence $$(UnitsMessage),Prevention Allocation $$(UnitsMessage),Response Allocation $$(UnitsMessage),Attack Allocation $$(UnitsMessage),Vulnerability Reduced,Consequence Reduced $$(UnitsMessage),Calculated Threat,Weight,Weight x Objective,Degrees,Rank
Illinois,100,80,105,556.3,29.6,84,5.25,,556.3,0,0,5,105,100,0.667,3.5,2,3
Indiana,100,80,48,254.1,13.5,38.4,2.4,,254.1,0,0,5,48,100,0.667,1.6,2,5
Kentucky,100,80,17,90,4.8,13.6,0.85,,90,0,0,5,17,100,1,0.85,3,7
Maryland,100,80,17.6,93,5,14.08,0.88,,93,0,0,5,17.6,100,0.667,0.587,2,9
Missouri,100,80,123,651.6,34.7,98.4,11.71,,500.32,0,0,9.52,123,100,0.333,3.902,1,2
New Jersey,100,80,79.9,423.6,22.5,63.92,7.61,,325.14,0,0,9.52,79.9,100,0.333,2.537,1,4
Pennsylvania,100,80,98.9,524.3,27.9,79.12,4.95,,524.3,0,0,5,98.9,100,1,4.945,3,1
Tennessee,100,80,19.3,102.5,5.5,15.44,1.84,,78.61,0,0,9.54,19.3,100,0.333,0.614,1,8
West Virginia,100,80,18,95.4,5.1,14.4,0.9,,95.4,0,0,5,18,100,1,0.9,3,6
Virginia,100,80,12.3,65.2,3.5,9.84,0.62,,65.2,0,0,5,12.3,100,0.667,0.41,2,10
PA-NJ,100,80,8,42.4,2.3,6.4,0.76,,32.55,0,0,9.52,8,100,0.333,0.254,1,12
PA-MD,100,80,1.8,9.3,13.8,1.44,0.17,,7.22,0,0,9.28,1.8,100,0.333,0.056,1,15
PA-WV,100,80,1.8,9.5,0.5,1.44,0.17,,7.31,0,0,9.48,1.8,100,0.333,0.057,1,14
WV-VA,100,80,1.2,6.5,0.3,0.96,0.12,,4.94,0,0,9.73,1.2,100,0.333,0.039,1,17
VA-MD,100,80,1.2,6.5,0.3,0.96,0.12,,4.94,0,0,9.73,1.2,100,0.333,0.039,1,17
WV-KY,100,80,1.7,9,0.5,1.36,0.16,,6.91,0,0,9.51,1.7,100,0.333,0.054,1,16
KY-IN,100,80,1.7,9,0.5,1.36,0.16,,6.91,0,0,9.51,1.7,100,0.333,0.054,1,16
IN-IL,100,80,4.8,25.4,1.4,3.84,0.46,,19.51,0,0,9.51,4.8,100,0.333,0.152,1,13
IL-MO,100,80,10.5,55.6,3,8.4,1,,42.7,0,0,9.51,10.5,100,0.333,0.333,1,11
KY-TN,100,80,1.7,9,0.5,1.36,0.16,,6.91,0,0,9.51,1.7,100,0.333,0.054,1,16
