Name,Threat,Vulnerability,Elimination Cost $$(UnitsMessage),Consequence $$(UnitsMessage),Risk Initial,Allocation $$(UnitsMessage),Vulnerability Reduced,Risk Reduced,Path,,,,
SCADA Malware,100,80,524.3,98.9,79.12,,80,79.12,Pennsylvania.SCADA Malware,,,,
Coordinated Ransomware,100,80,524.3,98.9,79.12,,80,79.12,Pennsylvania.Coordinated Ransomware,,,,
Phishing Breach,100,80,524.3,98.9,79.12,,80,79.12,Pennsylvania.Phishing Breach,,,,
Remote Access Exploit,100,80,524.3,98.9,79.12,,80,79.12,Pennsylvania.Remote Access Exploit,,,,
SCADA Malware,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.SCADA Malware,,,,
Coordinated Ransomware,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.Coordinated Ransomware,,,,
Phishing Breach,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.Phishing Breach,,,,
Remote Access Exploit,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.Remote Access Exploit,,,,
SCADA Malware,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.SCADA Malware,,,,
Coordinated Ransomware,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.Coordinated Ransomware,,,,
Phishing Breach,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.Phishing Breach,,,,
Remote Access Exploit,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.Remote Access Exploit,,,,
SCADA Malware,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.SCADA Malware,,,,
Coordinated Ransomware,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.Coordinated Ransomware,,,,
Phishing Breach,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.Phishing Breach,,,,
Remote Access Exploit,100,80,524.3,98.9,79.12,,80,79.12,Root Node.Pennsylvania.Remote Access Exploit,,,,
SCADA Malware,100,80,556.3,105,84,,80,84,Illinois.SCADA Malware,,,,
SCADA Malware,100,15,83.4,15.7,2.35,83.4,5,0.79,Root Node.Illinois.SCADA Malware,,,,
SCADA Malware,100,80,524.3,98.9,79.12,,80,79.12,SCADA Malware,,,,
Coordinated Ransomware,100,80,524.3,98.9,79.12,,80,79.12,Coordinated Ransomware,,,,
Phishing Breach,100,80,524.3,98.9,79.12,,80,79.12,Phishing Breach,,,,
Remote Access Exploit,100,80,524.3,98.9,79.12,,80,79.12,Remote Access Exploit,,,,
SCADA Malware,100,15,78.6,14.8,2.22,78.6,5,0.74,Root Node.Pennsylvania.SCADA Malware,,,,
Ransomware,100,12,62.9,11.9,1.43,62.9,5,0.6,Root Node.Pennsylvania.Ransomware,,,,
Phishing,100,7,36.7,6.9,0.48,36.7,5,0.35,Root Node.Pennsylvania.Phishing,,,,
Remote Access,100,6,31.5,5.9,0.35,31.3,5.01,0.3,Root Node.Pennsylvania.Remote Access,,,,
Ransomware,100,12,66.8,12.6,1.51,66.8,5,0.63,Root Node.Illinois.Ransomware,,,,
Phishing,100,7,38.9,7.3,0.51,38.9,5,0.36,Root Node.Illinois.Phishing,,,,
Remote Access,100,6,33.4,6.3,0.38,33.4,5,0.32,Root Node.Illinois.Remote Access,,,,
