"Name","Threat","Vulnerability","Consequence $$(UnitsMessage)","Prevention Cost $$(UnitsMessage)","Response Cost $$(UnitsMessage)","Risk Initial $$(UnitsMessage)","Risk Reduced $$(UnitsMessage)","Flow Consequence $$(UnitsMessage)","Prevention Allocation $$(UnitsMessage)","Response Allocation $$(UnitsMessage)","Attack Allocation $$(UnitsMessage)","Vulnerability Reduced","Consequence Reduced $$(UnitsMessage)","Calculated Threat","Weight","Weight x Objective","Degrees","Rank"
"Illinois","100.00","20.00","105.00","556.30","29.60","0.11","0.11","0.53","0.00","0.00","0.00","20.00","0.53","100.00","0.667","0.070","2","7"
"Indiana","100.00","20.00","48.00","254.10","13.50","0.00","0.01","0.00","0.00","0.00","0.00","20.00","0.05","100.00","0.667","0.007","2","12"
"Kentucky","100.00","20.00","17.00","90.00","4.80","0.12","0.12","0.60","0.00","0.00","0.00","20.00","0.60","100.00","1.000","0.120","3","6"
"Maryland","100.00","20.00","17.60","93.00","5.00","0.51","0.51","2.54","0.00","0.00","0.00","20.00","2.54","100.00","0.667","0.339","2","4"
"Missouri","100.00","20.00","123.00","651.60","34.70","0.11","0.11","0.53","0.00","0.00","0.00","20.00","0.53","100.00","0.333","0.035","1","10"
"New Jersey","100.00","20.00","79.90","423.60","22.50","1.60","1.60","8.00","0.00","0.00","0.00","20.00","8.00","100.00","0.333","0.533","1","2"
"Pennsylvania","100.00","20.00","98.90","524.30","27.90","2.32","2.32","11.60","0.00","0.00","0.00","20.00","11.60","100.00","1.000","2.320","3","1"
"Tennessee","100.00","20.00","19.30","102.50","5.50","0.00","0.01","0.00","0.00","0.00","0.00","20.00","0.05","100.00","0.333","0.003","1","14"
"West Virginia","100.00","20.00","18.00","95.40","5.10","0.36","0.36","1.80","0.00","0.00","0.00","20.00","1.80","100.00","1.000","0.360","3","3"
"Virginia","100.00","20.00","12.30","65.20","3.50","0.02","0.02","0.10","0.00","0.00","0.00","20.00","0.10","100.00","0.667","0.013","2","11"
"PA-NJ","100.00","20.00","8.00","42.40","2.30","1.60","1.60","8.00","0.00","0.00","0.00","20.00","8.00","100.00","0.333","0.533","1","2"
"PA-MD","100.00","20.00","1.80","9.30","13.80","0.36","0.36","1.80","0.00","0.00","0.00","20.00","1.80","100.00","0.333","0.120","1","5"
"PA-WV","100.00","20.00","1.80","9.50","0.50","0.36","0.36","1.80","0.00","0.00","0.00","20.00","1.80","100.00","0.333","0.120","1","6"
"WV-VA","100.00","20.00","1.20","6.50","0.30","0.02","0.02","0.10","0.00","0.00","0.00","20.00","0.10","100.00","0.333","0.007","1","13"
"VA-MD","100.00","20.00","1.20","6.50","0.30","0.15","0.15","0.74","0.00","0.00","0.00","20.00","0.74","100.00","0.333","0.050","1","8"
"WV-KY","100.00","20.00","1.70","9.00","0.50","0.12","0.12","0.60","0.00","0.00","0.00","20.00","0.60","100.00","0.333","0.040","1","9"
"KY-IN","100.00","20.00","1.70","9.00","0.50","0.00","0.01","0.00","0.00","0.00","0.00","20.00","0.05","100.00","0.333","0.003","1","14"
"IN-IL","100.00","20.00","4.80","25.40","1.40","0.11","0.11","0.53","0.00","0.00","0.00","20.00","0.53","100.00","0.333","0.035","1","10"
"IL-MO","100.00","20.00","10.50","55.60","3.00","0.11","0.11","0.53","0.00","0.00","0.00","20.00","0.53","100.00","0.333","0.035","1","10"
"KY-TN","100.00","20.00","1.70","9.00","0.50","0.00","0.01","0.00","0.00","0.00","0.00","20.00","0.05","100.00","0.333","0.003","1","14"
