Name,Threat,Vulnerability,Consequence $$(UnitsMessage),Prevention Cost $$(UnitsMessage),Response Cost $$(UnitsMessage),Risk Initial $$(UnitsMessage),Risk Reduced $$(UnitsMessage),Flow Consequence $$(UnitsMessage),Prevention Allocation $$(UnitsMessage),Response Allocation $$(UnitsMessage),Attack Allocation $$(UnitsMessage),Vulnerability Reduced,Consequence Reduced $$(UnitsMessage),Calculated Threat,Weight,Weight x Objective,Degrees,Rank
Illinois,100,80,105,556.3,29.6,0.42,0.07,0.53,354.45,0,0,13.67,0.53,100,0.667,0.048,2,6
Indiana,100,80,48,254.1,13.5,0,0.04,0,0,0,0,80,0.05,100,0.667,0.027,2,9
Kentucky,100,80,17,90,4.8,0.48,0.03,0.6,90,0,0,5,0.6,100,1,0.03,3,8
Maryland,100,80,17.6,93,5,2.04,0.13,2.54,93,0,0,5,2.54,100,0.667,0.085,2,5
Missouri,100,80,123,651.6,34.7,0.42,0.42,0.53,0,0,0,80,0.53,100,0.333,0.141,1,2
New Jersey,100,80,79.9,423.6,22.5,6.4,0.4,8,423.6,0,0,5,8,100,0.333,0.133,1,3
Pennsylvania,100,80,98.9,524.3,27.9,9.28,0.58,11.6,524.3,0,0,5,11.6,100,1,0.58,3,1
Tennessee,100,80,19.3,102.5,5.5,0,0.04,0,0,0,0,80,0.05,100,0.333,0.013,1,10
West Virginia,100,80,18,95.4,5.1,1.44,0.09,1.8,95.4,0,0,5,1.8,100,1,0.09,3,4
Virginia,100,80,12.3,65.2,3.5,0.08,0.01,0.1,52.85,0,0,8.45,0.1,100,0.667,0.006,2,15
PA-NJ,100,80,8,42.4,2.3,6.4,0.4,8,42.4,0,0,5,8,100,0.333,0.133,1,3
PA-MD,100,80,1.8,9.3,13.8,1.44,0.09,1.8,9.3,0,0,5,1.8,100,0.333,0.03,1,7
PA-WV,100,80,1.8,9.5,0.5,1.44,0.09,1.8,9.5,0,0,5,1.8,100,0.333,0.03,1,8
WV-VA,100,80,1.2,6.5,0.3,0.08,0,0.1,6.5,0,0,5,0.1,100,0.333,0.002,1,16
VA-MD,100,80,1.2,6.5,0.3,0.6,0.04,0.74,6.5,0,0,5,0.74,100,0.333,0.012,1,11
WV-KY,100,80,1.7,9,0.5,0.48,0.03,0.6,9,0,0,5,0.6,100,0.333,0.01,1,12
KY-IN,100,80,1.7,9,0.5,0,0.04,0,0,0,0,80,0.05,100,0.333,0.013,1,10
IN-IL,100,80,4.8,25.4,1.4,0.42,0.03,0.53,25.4,0,0,5,0.53,100,0.333,0.009,1,13
IL-MO,100,80,10.5,55.6,3,0.42,0.03,0.53,55.6,0,0,5,0.53,100,0.333,0.009,1,14
KY-TN,100,80,1.7,9,0.5,0,0.04,0,0,0,0,80,0.05,100,0.333,0.013,1,10
