Name,Threat,Vulnerability,Elimination Cost $$(UnitsMessage),Consequence $$(UnitsMessage),Risk Initial,Allocation $$(UnitsMessage),Vulnerability Reduced,Risk Reduced,Path,,,,
Main Sabotage,100,12,62.9,11.9,1.43,,12,1.43,Pennsylvania.Main Sabotage,,,,
Plant Contamination,100,11,57.7,10.9,1.2,,11,1.2,Pennsylvania.Plant Contamination,,,,
Regional Flooding,100,9,47.2,8.9,0.8,,9,0.8,Pennsylvania.Regional Flooding,,,,
Grid Outage,100,8,41.9,7.9,0.63,,8,0.63,Pennsylvania.Grid Outage,,,,
Main Sabotage,100,12,66.8,12.6,1.51,,12,1.51,New Jersey.Main Sabotage,,,,
Plant Contamination,100,11,61.2,11.5,1.26,,11,1.26,New Jersey.Plant Contamination,,,,
Regional Flooding,100,9,50.1,9.4,0.85,,9,0.85,New Jersey.Regional Flooding,,,,
Grid Outage,100,8,44.5,8.4,0.67,,8,0.67,New Jersey.Grid Outage,,,,
Main Sabotage,100,12,66.8,12.6,1.51,66.8,5,0.63,Root Node.New Jersey.Main Sabotage,,,,
Plant Contamination,100,11,61.2,11.5,1.26,61.2,5,0.58,Root Node.New Jersey.Plant Contamination,,,,
Regional Flooding,100,9,50.1,9.4,0.85,50.1,5,0.47,Root Node.New Jersey.Regional Flooding,,,,
Grid Outage,100,8,44.5,8.4,0.67,44.39,5.01,0.42,Root Node.New Jersey.Grid Outage,,,,
Main Sabotage,100,12,62.9,11.9,1.43,,12,1.43,Main Sabotage,,,,
Plant Contamination,100,11,57.7,10.9,1.2,,11,1.2,Plant Contamination,,,,
Regional Flooding,100,9,47.2,8.9,0.8,,9,0.8,Regional Flooding,,,,
Grid Outage,100,8,41.9,7.9,0.63,,8,0.63,Grid Outage,,,,
Main Sabotage,100,12,62.9,11.9,1.43,62.9,5,0.6,Root Node.Pennsylvania.Main Sabotage,,,,
Plant Contamination,100,11,57.7,10.9,1.2,57.7,5,0.55,Root Node.Pennsylvania.Plant Contamination,,,,
Regional Flooding,100,9,47.2,8.9,0.8,47.2,5,0.45,Root Node.Pennsylvania.Regional Flooding,,,,
Grid Outage,100,8,41.9,7.9,0.63,41.71,5.01,0.4,Root Node.Pennsylvania.Grid Outage,,,,
